task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
224	80/f951ce	38322145	run_discovery_analysis_trans (209)	COMPLETED	0	2025-10-20 00:07:12.667	1h 25m 20s	1h 22m 41s	99.2%	913.9 MB	1.7 GB	45.7 MB	811.3 KB
225	35/793258	38322147	run_discovery_analysis_trans (210)	COMPLETED	0	2025-10-20 00:07:13.068	1h 25m 24s	1h 20m 29s	99.1%	910.3 MB	1.7 GB	45.4 MB	801.6 KB
251	f1/aaec24	38322172	run_discovery_analysis_trans (236)	COMPLETED	0	2025-10-20 00:07:18.070	1h 25m 19s	1h 24m 3s	97.1%	911.2 MB	1.7 GB	44 MB	791.5 KB
132	1c/a74718	38322054	run_discovery_analysis_trans (117)	COMPLETED	0	2025-10-20 00:06:54.469	1h 25m 48s	1h 21m 40s	97.2%	916.1 MB	1.7 GB	44.6 MB	807.8 KB
229	4b/30372f	38322149	run_discovery_analysis_trans (214)	COMPLETED	0	2025-10-20 00:07:13.467	1h 25m 29s	1h 21m 17s	99.2%	922.8 MB	1.7 GB	43.6 MB	769.7 KB
183	b5/bf858c	38322104	run_discovery_analysis_trans (168)	COMPLETED	0	2025-10-20 00:07:04.469	1h 25m 48s	1h 25m 36s	98.8%	925.1 MB	1.7 GB	43.4 MB	783.8 KB
193	89/c0330f	38322113	run_discovery_analysis_trans (178)	COMPLETED	0	2025-10-20 00:07:06.270	1h 25m 46s	1h 25m 31s	98.8%	919.9 MB	1.7 GB	44.4 MB	797 KB
61	12/e3b914	38321981	run_discovery_analysis_trans (46)	COMPLETED	0	2025-10-20 00:06:40.269	1h 26m 17s	1h 26m 9s	98.9%	923.8 MB	1.7 GB	44.5 MB	812.5 KB
189	2c/9f6112	38322108	run_discovery_analysis_trans (174)	COMPLETED	0	2025-10-20 00:07:05.269	1h 25m 52s	1h 25m 36s	98.9%	922.9 MB	1.7 GB	43.8 MB	777.2 KB
223	65/f23aec	38322146	run_discovery_analysis_trans (208)	COMPLETED	0	2025-10-20 00:07:12.867	1h 25m 44s	1h 24m 23s	98.6%	924.9 MB	1.7 GB	44.3 MB	822 KB
182	90/56d8d3	38322103	run_discovery_analysis_trans (167)	COMPLETED	0	2025-10-20 00:07:04.270	1h 26m 13s	1h 25m 6s	98.9%	912.4 MB	1.7 GB	44.7 MB	809.4 KB
324	7c/c6e971	38322244	run_discovery_analysis_trans (309)	COMPLETED	0	2025-10-20 00:07:32.469	1h 25m 45s	1h 22m 28s	99.1%	921 MB	1.7 GB	44.4 MB	778 KB
46	12/573582	38321967	run_discovery_analysis_trans (31)	COMPLETED	0	2025-10-20 00:06:37.468	1h 26m 45s	1h 24m 34s	91.7%	923.2 MB	1.7 GB	45.4 MB	827.8 KB
64	56/30ddd6	38321982	run_discovery_analysis_trans (49)	COMPLETED	0	2025-10-20 00:06:40.470	1h 26m 52s	1h 26m 47s	99.0%	900.6 MB	1.7 GB	46.4 MB	827.3 KB
241	ee/13ab62	38322169	run_discovery_analysis_trans (226)	COMPLETED	0	2025-10-20 00:07:17.471	1h 26m 25s	1h 26m	96.3%	906.3 MB	1.7 GB	45.6 MB	812 KB
342	0b/439ed1	38322262	run_discovery_analysis_trans (327)	COMPLETED	0	2025-10-20 00:07:36.071	1h 26m 21s	1h 26m 4s	85.9%	907.1 MB	1.7 GB	44.7 MB	764.7 KB
117	11/0420ad	38322040	run_discovery_analysis_trans (102)	COMPLETED	0	2025-10-20 00:06:51.708	1h 27m 11s	1h 27m 6s	98.6%	918.8 MB	1.7 GB	46.3 MB	848.5 KB
185	9f/0f8ad6	38322109	run_discovery_analysis_trans (170)	COMPLETED	0	2025-10-20 00:07:05.468	1h 26m 57s	1h 26m 23s	98.9%	913.1 MB	1.7 GB	44.5 MB	808.6 KB
252	d4/20ccdd	38322174	run_discovery_analysis_trans (237)	COMPLETED	0	2025-10-20 00:07:18.466	1h 26m 44s	1h 21m 18s	99.1%	917.3 MB	1.7 GB	43.8 MB	792 KB
162	60/f50451	38322085	run_discovery_analysis_trans (147)	COMPLETED	0	2025-10-20 00:07:00.967	1h 27m 26s	1h 24m 12s	96.8%	910.1 MB	1.7 GB	44.9 MB	800.6 KB
213	e9/da3b4d	38322137	run_discovery_analysis_trans (198)	COMPLETED	0	2025-10-20 00:07:11.071	1h 27m 21s	1h 26m 14s	95.0%	912 MB	1.7 GB	42.8 MB	762.8 KB
277	2f/a3e8c4	38322198	run_discovery_analysis_trans (262)	COMPLETED	0	2025-10-20 00:07:23.271	1h 27m 24s	1h 27m 21s	94.3%	907.4 MB	1.7 GB	45 MB	813.9 KB
318	db/fb8317	38322238	run_discovery_analysis_trans (303)	COMPLETED	0	2025-10-20 00:07:31.725	1h 27m 31s	1h 23m 31s	94.6%	928.3 MB	3.4 GB	44.9 MB	766.4 KB
209	b8/2b3611	38322134	run_discovery_analysis_trans (194)	COMPLETED	0	2025-10-20 00:07:10.471	1h 28m 12s	1h 28m	96.8%	913.5 MB	1.7 GB	44.6 MB	830.4 KB
323	6f/b2c6f5	38322245	run_discovery_analysis_trans (308)	COMPLETED	0	2025-10-20 00:07:32.668	1h 28m 10s	1h 21m 54s	99.1%	909.2 MB	1.7 GB	43.1 MB	746 KB
332	e9/7e58af	38322252	run_discovery_analysis_trans (317)	COMPLETED	0	2025-10-20 00:07:34.069	1h 28m 58s	1h 24m 10s	93.1%	908.3 MB	1.7 GB	41.6 MB	716.5 KB
319	89/c95d89	38322239	run_discovery_analysis_trans (304)	COMPLETED	0	2025-10-20 00:07:31.846	1h 29m 10s	1h 28m 29s	90.0%	914.1 MB	1.7 GB	43.1 MB	728.1 KB
326	df/96532e	38322247	run_discovery_analysis_trans (311)	COMPLETED	0	2025-10-20 00:07:33.068	1h 29m 9s	1h 22m 57s	96.7%	915 MB	1.7 GB	43.8 MB	747 KB
322	e4/9f89e6	38322249	run_discovery_analysis_trans (307)	COMPLETED	0	2025-10-20 00:07:33.468	1h 29m 9s	1h 25m 20s	99.0%	912.1 MB	1.7 GB	45.6 MB	790 KB
334	7d/a4702a	38322255	run_discovery_analysis_trans (319)	COMPLETED	0	2025-10-20 00:07:34.670	1h 29m 33s	1h 25m 55s	99.1%	907.4 MB	1.7 GB	46.3 MB	800.3 KB
178	25/6d2cab	38322099	run_discovery_analysis_trans (163)	COMPLETED	0	2025-10-20 00:07:03.469	1h 30m 9s	1h 22m 44s	97.2%	915.4 MB	1.7 GB	45.7 MB	809.4 KB
187	91/3d4d7e	38322107	run_discovery_analysis_trans (172)	COMPLETED	0	2025-10-20 00:07:05.069	1h 30m 12s	1h 30m 6s	94.8%	910.4 MB	1.7 GB	45.4 MB	822 KB
184	30/e9d7a5	38322111	run_discovery_analysis_trans (169)	COMPLETED	0	2025-10-20 00:07:05.867	1h 30m 11s	1h 27m 11s	99.4%	-	-	189.5 MB	2.6 MB
335	7d/8ef7b8	38322256	run_discovery_analysis_trans (320)	COMPLETED	0	2025-10-20 00:07:34.869	1h 29m 42s	1h 25m 30s	97.3%	907.5 MB	1.7 GB	46.2 MB	802 KB
325	8a/9f92b0	38322246	run_discovery_analysis_trans (310)	COMPLETED	0	2025-10-20 00:07:32.869	1h 29m 49s	1h 25m 49s	99.0%	915.4 MB	1.7 GB	46.3 MB	807.8 KB
